First_Name,Last_Name,Points
James,Harden,35.59782608695652
Stephen,Curry,27.365591397849464
LeBron,James,27.338983050847457
Paul,George,27.19047619047619
Kawhi,Leonard,27.13953488372093
Kevin,Durant,26.956521739130434
Joel,Embiid,26.07792207792208
Giannis,Antetokounmpo,25.956521739130434
Bradley,Beal,25.86904761904762
Kemba,Walker,25.865853658536587
